City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
419,Tevaitoa,-16.7833,-151.5,81.21,77,100,20.71,PF,2021-01-12 18:20:46
420,Leningradskiy,69.3833,178.4167,-18.85,83,96,19.22,RU,2021-01-12 18:20:46
421,Otjiwarongo,-20.4637,16.6477,67.06,92,100,6.6,NA,2021-01-12 18:20:47
422,Pangnirtung,66.1451,-65.7125,5.0,85,90,3.44,CA,2021-01-12 18:20:48
423,Waipawa,-41.4122,175.5153,66.0,88,75,10.36,NZ,2021-01-12 18:20:48
424,Leticia,-4.2153,-69.9406,87.8,70,40,2.3,CO,2021-01-12 18:20:48
425,Buala,-8.145,159.5921,78.08,81,100,4.32,SB,2021-01-12 18:20:48
426,Deulgaon Raja,20.0167,76.0333,69.8,73,40,6.42,IN,2021-01-12 18:20:49
427,Nouakchott,18.0858,-15.9785,77.0,19,77,13.8,MR,2021-01-12 18:20:49
428,Kundiawa,-6.0167,144.9667,64.47,80,99,1.61,PG,2021-01-12 18:20:49
429,Chandvad,20.3333,74.25,69.89,61,27,4.74,IN,2021-01-12 18:20:49
430,Kastamonu,41.5,33.6667,53.37,60,85,8.55,TR,2021-01-12 18:19:32
431,Nakhon Thai,17.1006,100.8374,57.49,48,46,3.91,TH,2021-01-12 18:20:50
432,Roma,43.2128,-75.4557,33.01,74,90,6.91,US,2021-01-12 18:20:03
433,Talaya,61.3833,152.75,-23.85,84,83,1.59,RU,2021-01-12 18:20:50
434,Los Palacios,22.5872,-83.2486,70.7,91,100,8.34,CU,2021-01-12 18:20:50
435,Pedro Ii,-4.4247,-41.4586,86.18,47,99,2.37,BR,2021-01-12 18:20:50
436,Bairiki,1.3292,172.9752,77.0,100,90,13.8,KI,2021-01-12 18:20:51
437,Salinas,36.6777,-121.6555,57.99,71,20,17.27,US,2021-01-12 18:20:51
438,Fairbanks,64.8378,-147.7164,9.0,85,75,2.77,US,2021-01-12 18:18:39
439,Duki,30.1541,68.5728,49.12,35,7,3.67,PK,2021-01-12 18:20:51
440,Sunnyside,46.3237,-120.0087,39.0,100,90,7.07,US,2021-01-12 18:20:52
441,Churapcha,62.0025,132.4325,-47.0,75,76,4.36,RU,2021-01-12 18:20:52
